"","Month (We are collecting April, May, June, July, August, September of 2022 for each clinic)","Unit of Measure Name (Primary Clinic #1, Primary Clinic #2, etc) (if you have 150 clinics you should have 150 lines of data submitted here)","Organization Number","Organization Region Type (Rural, Community, Urban): Rural 1, Community 2, Urban 3","Organization Type (Stand Alone Medical Group, Academic HealthSystem, Integrated Health System, Federally Qualitifed Health System, Rural Health System): Stand Alone 1, Academic 2, Integrated 3, Federally Qualified 4, Rural 5","Number of Ambulatory Clinics (Total Clinics: Primary Peds, Primary Adult, Primary Family, Specialty, Hospital Based, Stand Alone, other)","Total Number of Ambulatory Primary Care Clinics that care for all ages (pediatric through adult)","Total number of Ambulatory Primary Care Clinics that Serve Adults over 18 years of Age","Organization Magnet Status: Yes 1, No 2","Organization Magnet Status inclusive of Ambulatory Structure: Yes 1, No 2","Organization Stand alone for Ambulatory Structure. Achievement of Magnet: Yes 1, No 2","Chief Nursing Officer Present for Ambulatory Structure: Yes 1, No 2","Number of Primary Care Clinics serving adults over 18 years of age with RN Manager","Ratio of RN Manager to Primary Care Clinic serving over 18 year old adults (choose the following: 1= 1:1 ratio, 2= 3:1 ratio, 3= 6:1 ratio, 4= 1: 10 or over clinics ratio)","Collective Bargaining Unit in Place Ambulatory Structure: Yes 1, No 2","Centralized RN Staffing in place for Ambulatory Primary Care Clinics Submitted? Yes 1 or No 2","If Centralized RN Staffing in place for Ambulatory Primary Clinics Submitted what are Actual RN Hours Worked/month by that combined staff?","Centralized Telehealth Center in place for Ambulatory Primary Care Clinics for the purposes of Access, Population Health or Care Coordination: Yes 1 or No 2","If Centralized Telehealth Center in place for Ambulatory Primary Care Clinics Submitted what are the actual Hours Worked/month by that combined staff?","Unit of Measurement Total Number of Patients over 18 years of age seen/month (Total number of patients seen/month= visits +  telehealth encounters + RN Visits/Month collected for the 6 months collected) (April thru September 2022) (Sum of Column U, V and W)","Unit of Measurement Total Number of Visits/Month/6 months collected for patients over 18 years of age","Unit of Measurement Total Number of RN Visits/Month/6 months collected for patients over 18 years of age","Unit of Measurement Total Number of RN Tele or Virtual Visits/Month/6 months collected","Actual Hours Worked RN/Clinic/Month Collected","Actual Hours Worked APN/Clinic/Month Collected","Actual Hours Worked PA/Clinic/Month Collected","Actual Hours Worked MA/Clinic/Month Collected","Actual Hours Worked MD/Clinic/Month Collected","Actual Hours Worked LPN/Clinic/Month Collected","Actual Hours Worked/Other Ancillary Staff","Actual Hours Worked Contract Staff/Clinic/Month Collected","Budgeted Hours Worked RN/Clinic/Month Collected","Budgeted Hours Worked APN/Clinic/Month Collected","Budgeted Hours Worked PA/Clinic/Month Collected","Budgeted Hours Worked MA/Clinic/Month Collected","Budgeted Hours Worked MD/Clinic/Month Collected","Budgeted Hours Worked LPN/Clinic/Month Collected","Budgeted Hours Worked/Other Ancillary Staff/Clinic/Month Collected","Budgeted Hours Worked Contract Staff/Clinic/Month Collected","Number of Patients Served between 18-40 years of age/Clinic/Month","Number of Patients Served between 41-65 years of age/Clinic/Month","Number of Patients Served between 66-89 years of age/Clinic/Month","Number of Patients Served over 89 years of age/Clinic/Month","Race: Number of Black African American Patients Served in Unit/Month Collected","Race: Number of Caucasian/White Patients Served in Unit/Month Collected","Race: Number of Asian Patients Served in Unit/Month Collected","Race: Number of Native Hawaiaan Patients Served in Unit/Month Collected","Race: Number Of Other Pacific Islander Patients Served in Unit/Month Collected","Race: Number of American Indian/Alaskan Indian Patients Served in Unit/Month Collected","Race: Number of Multiracial Patients (more than 1 race identified) Served in Unit/Month Collected","Race: Number of Unreported Race Patients Served in Unit/Month Collected","Ethnicity: Numberof Hispanic Patient Service in Unit/Month Collected","Ethnicity: Number of Non Hispanic Patients. Served in Unit/Month Collected","Ethnicity: Number of Hispanic Patients Served in Unit/Month Collected","Ethnicity: Number of Unreported Ethnicity Patients Served in Unit/Month Collected","Gender at Birth: Number of Female Patients Served in Unit/Month Collected","Gender at Birth: Number of Male Patients Served in Unit/Month Collected","Gender at Birth: Number of Patients Who Identify as Unknown Gender at Time of Birth in Unit/Month Collected","Gender at Birth: Number of Patients Who Identify as ""X"" Gender at time of Birth in Unit/Month","Number of Patients with Private Payor in Unit/Month Collected","Number of Patients with Public/Governmental Payor in Unit/Month Collected","Number of Patients that are Uninsured in unit/month collected","Number of Patients Blood Pressure Assessed in Unit/Month Collected","Number of Patients with BP over 140/90/Unit/Month Collected","Number of Patients with Body Mass Index Assessed in Unit/Month Collected","Number of Patients with Body Mass Index over 30 in unit/month collected","Number of Patients with HGB A1C Assessed in unit/month collected","Number of Patients with HGB A1C over 9.0 in unit/month collected","Number of Patients with HGB A1C 8.0-8.9 in unit/month collected","Number of Patients with HGB A1C under 7.0-7.9in unit/month collected","Number of Patients with HGB A1C under 7.0"
"1","April","Bristol",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:02:00,2,2,"N/A",1,"This is a combined total of 5.6 FTE for the organization of RN in population health supporting all locations together",446,395,45,6,160,400,0,480,0,0,160,0,320,480,0,480,0,0,160,0,143,206,46,0,28,161,7,0,NA,1,NA,198,207,165,NA,23,236,142,NA,NA,60,300,31,306,72,298,164,88,7,6,6,69
"2","April","Clinton",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:03:00,2,2,NA,1,NA,754,655,96,3,160,480,0,480,0,160,320,0,320,480,0,480,0,0,320,0,231,328,95,1,16,404,29,1,NA,3,NA,202,222,402,NA,31,403,229,NA,NA,101,385,145,427,71,396,167,126,13,4,10,99
"3","April","Danbury",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:02:00,2,2,NA,1,NA,1119,1012,104,3,448,352,0,672,320,0,320,0,480,352,0,672,320,0,320,0,351,555,105,1,60,322,18,5,NA,1,NA,606,583,361,NA,68,622,351,NA,NA,132,683,164,779,148,734,374,170,26,10,13,121
"4","April","Enfield",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:02:00,2,2,NA,1,NA,507,443,64,0,192,0,128,256,192,0,160,0,192,0,128,320,192,0,160,0,157,239,48,0,26,267,19,0,NA,0,NA,131,86,311,NA,46,250,181,NA,NA,87,329,16,307,80,297,163,56,6,7,8,35
"5","April","Groton",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:03:00,2,2,NA,1,NA,674,624,47,3,320,160,160,480,160,0,160,0,320,160,160,480,160,0,160,0,227,306,89,2,69,320,32,2,NA,6,NA,195,176,397,NA,51,384,230,NA,NA,140,440,30,521,133,501,262,103,12,13,12,65
"6","April","Hartford",NA,3,4,1,0,0,2,2,2,1,"N/A",1899-12-31 01:01:00,2,2,NA,1,NA,139,131,8,0,1056,288,160,2080,992,160,800,0,1056,928,160,2080,992,160,800,0,129,2,0,0,25,11,11,0,NA,0,NA,84,84,40,NA,7,17,15,NA,NA,14,115,2,126,3,123,83,18,NA,NA,1,17
"7","April","Meriden",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:01:00,2,2,NA,1,NA,2658,2514,143,1,920,1504,320,1920,480,0,800,0,1080,1504,320,2144,480,0,800,0,1030,1198,285,1,315,760,48,6,NA,12,NA,1373,1534,842,NA,138,1603,843,NA,NA,356,1888,245,1950,460,1841,1026,499,52,38,37,371
"8","April","Middletown",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:02:00,2,2,NA,1,NA,1658,1576,59,23,352,960,0,1440,320,160,480,0,800,960,0,1520,320,0,480,0,581,764,230,1,349,729,57,2,NA,7,NA,432,366,1049,NA,161,921,595,NA,NA,320,1137,89,1214,247,1114,597,231,23,24,28,153
"9","April","New Britain",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:01:00,2,2,NA,1,NA,2919,2666,240,13,864,1248,160,2560,800,288,1120,0,1472,1504,160,2880,960,0,1120,0,1042,1235,384,5,241,641,67,7,NA,9,NA,1701,1738,788,NA,140,1697,891,NA,NA,495,1970,164,2046,461,1992,1114,481,53,37,75,318
"10","April","New London",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:03:00,2,2,NA,1,NA,2043,1894,141,8,768,1120,160,1248,368,0,480,0,768,1120,160,1568,368,0,640,0,649,990,254,2,294,631,27,3,NA,14,NA,925,916,852,NA,126,1144,704,NA,NA,320,1397,145,1558,392,1414,756,298,53,22,42,179
"11","April","Norwalk",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:02:00,2,2,NA,1,NA,651,592,59,0,160,96,160,480,160,0,160,0,320,256,160,576,160,0,160,0,230,303,61,0,98,135,10,1,NA,1,NA,347,311,221,NA,60,373,211,NA,NA,106,380,91,486,103,470,245,87,7,5,9,65
"12","April","Stamford",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:01:00,2,2,NA,1,NA,1033,951,81,1,576,672,0,1056,600,0,320,0,640,672,0,1280,600,0,320,0,364,493,92,2,155,218,37,4,NA,3,NA,534,535,334,NA,82,650,297,NA,NA,114,599,213,720,136,702,342,161,22,7,13,119
"13","April","Waterbury",NA,2,4,1,1,1,2,2,2,1,"1",1899-12-31 01:02:00,2,2,NA,1,NA,871,807,63,1,320,352,160,800,320,0,320,0,384,352,160,800,320,0,320,0,323,422,60,2,133,251,7,1,NA,6,NA,409,434,307,NA,66,494,298,NA,NA,106,662,29,456,141,445,259,150,17,11,11,109
